model,constrained,precision@10,recall@10,ndcg@10,hit_rate@10,explore_recall@10,cuisine_diversity,users,warm_users,ndcg@10_warm,ndcg@10_cold,catalogue_coverage,feasibility_rate,ms_per_user,stage
GlobalPopularity,False,0.0001,0.0006,0.0002,0.0007,0.0006,0.8000,109842,88362,0.0002,0.0002,0.0013,0.0000,0.0074,valid
GlobalPopularity,True,0.0004,0.0034,0.0014,0.0042,0.0037,0.5481,109842,88362,0.0014,0.0016,0.0123,1.0000,0.0119,valid
LocalPopularity,True,0.0061,0.0486,0.0225,0.0593,0.0441,0.7457,109842,88362,0.0223,0.0235,0.0429,1.0000,0.0112,valid
PersonalFrequency,True,0.0407,0.2967,0.2379,0.3499,0.0343,0.7498,109842,88362,0.2900,0.0235,0.9269,1.0000,0.0109,valid
GlobalPopularity,False,0.0001,0.0004,0.0002,0.0005,0.0004,0.8000,104890,85603,0.0002,0.0001,0.0013,0.0000,0.0090,test
GlobalPopularity,True,0.0004,0.0032,0.0012,0.0039,0.0034,0.6850,104890,85603,0.0012,0.0015,0.0117,1.0000,0.0122,test
LocalPopularity,True,0.0063,0.0508,0.0233,0.0616,0.0464,0.7593,104890,85603,0.0231,0.0243,0.0436,1.0000,0.0087,test
PersonalFrequency,True,0.0416,0.3059,0.2437,0.3587,0.0352,0.7791,104890,85603,0.2932,0.0243,0.9340,1.0000,0.0114,test
